,timestep (1d),Proton_density,Electron_density
178,2012-09-23T00:03:00,1.955,1.8770321
179,2012-09-24T00:03:00,3.01,2.3128827
180,2012-09-26T00:03:00,7.2850001,5.1396406
181,2012-09-27T00:03:00,4.55,3.8409835
182,2012-10-08T00:03:00,4.9750001,4.1223767
183,2012-10-09T00:03:00,2.06,1.4823492
184,2012-10-10T00:03:00,5.5550001,5.0300635
185,2012-10-11T00:03:00,2.24,1.1537336
186,2012-10-12T00:03:00,4.645,3.3572534
187,2012-10-13T00:03:00,1.315,1.0577095
188,2012-10-14T00:03:00,3.1600001,2.783015
189,2012-10-15T00:03:00,2.9599999,2.4257933
190,2012-10-16T00:03:00,4.4499998,3.4891721
191,2012-10-17T00:03:00,2.7299999,1.6335752
192,2012-10-18T00:03:00,2.4400001,2.7352888
193,2012-10-19T00:03:00,0.88999999,1.2537543
194,2012-10-20T00:03:00,1.71,1.3756619
195,2012-10-21T00:03:00,2.46,1.8287241
196,2012-10-22T00:03:00,3.0550001,2.7741471
197,2012-10-23T00:03:00,7.4649999,6.4621501
198,2012-10-24T00:03:00,5.4000001,2.974261
199,2012-10-25T00:03:00,3.465,2.6983945
200,2012-10-27T00:03:00,3.9899999,3.2790122
201,2012-10-28T00:03:00,3.765,3.4105518
202,2012-10-29T00:03:00,3.0999999,2.7472868
203,2012-10-30T00:03:00,5.2149999,4.0700396
204,2012-10-31T00:03:00,8.2750001,7.0141709
205,2012-11-01T00:03:00,18.02,3.0672537
206,2012-11-02T00:03:00,5.7650001,0.18613833
207,2012-11-03T00:03:00,8.2149997,3.150961
208,2012-11-04T00:03:00,5.9649999,4.2556589
209,2012-11-06T00:03:00,6.54,5.0607017
210,2012-11-07T00:03:00,30.835,23.761944
211,2012-11-08T00:03:00,3.255,2.6355173
212,2012-11-09T00:03:00,3.495,2.9190013
213,2012-11-10T00:03:00,4.2549999,3.4197198
214,2012-11-11T00:03:00,10.43,6.3162278
215,2012-11-12T00:03:00,6.3,4.226295
