,timestep (1d),Proton_density,Electron_density
205,2012-06-01T00:03:00,8.3850002,3.7857098
206,2012-06-01T12:03:00,7.4450002,1.6788019
207,2012-06-02T00:03:00,7.165,2.5534251
208,2012-06-02T12:03:00,18.71,7.7947073
209,2012-06-03T00:03:00,6.3199999,4.4179928
210,2012-06-03T12:03:00,15.925,9.7768634
211,2012-06-04T00:03:00,7.865,7.1042205
212,2012-06-04T12:03:00,5.6099999,4.784018
213,2012-06-05T00:03:00,2.8150001,2.8571705
214,2012-06-05T12:03:00,3.125,2.317254
215,2012-06-06T00:03:00,2.41,1.7999098
216,2012-06-06T12:03:00,1.615,1.3765275
217,2012-06-12T00:03:00,3.4599999,2.1329033
218,2012-06-12T12:03:00,2.155,1.7475488
219,2012-06-13T00:03:00,1.925,5.1398776
220,2012-06-13T12:03:00,1.64,1.5040797
221,2012-06-14T00:03:00,2.92,2.4654824
222,2012-06-14T12:03:00,2.405,2.0246287
223,2012-06-15T00:03:00,3.0700001,2.5048881
224,2012-06-15T12:03:00,2.98,3.0930093
225,2012-06-16T00:03:00,3.8249999,2.9440433
226,2012-06-16T12:03:00,11.275,10.951886
227,2012-06-29T12:03:00,3.475,2.9398691
228,2012-07-04T12:03:00,2.0799999,1.7582723
229,2012-07-05T00:03:00,2.505,1.8452273
230,2012-07-05T12:03:00,2.79,1.6079886
231,2012-07-06T00:03:00,6.2449999,2.9470978
232,2012-07-06T12:03:00,4.2349999,3.1857269
233,2012-07-07T00:03:00,5.2099998,2.6853004
234,2012-07-07T12:03:00,4.28,1.1648758
235,2012-07-08T00:03:00,7.0600002,1.8165061
236,2012-07-08T12:03:00,9.395,7.3924451
237,2012-07-09T00:03:00,13.585,4.0266727
238,2012-07-09T12:03:00,4.0500001,1.3038338
239,2012-07-10T00:03:00,4.5699999,3.2149762
240,2012-07-10T12:03:00,6.79,5.9258307
241,2012-07-11T00:03:00,3.795,3.1105371
242,2012-07-11T12:03:00,2.465,2.2295911
243,2012-07-12T00:03:00,2.66,2.6570489
244,2012-07-12T12:03:00,6.125,3.944381
245,2012-07-13T00:03:00,2.545,2.1205634
246,2012-07-13T12:03:00,2.535,1.4106956
247,2012-07-14T00:03:00,2.97,1.9360495
248,2012-07-14T12:03:00,5.2149999,3.5012179
249,2012-07-15T00:03:00,20.05,18.037587
250,2012-07-15T12:03:00,2.04,1.1954453
251,2012-07-16T00:03:00,1.695,1.0191897
252,2012-07-16T12:03:00,0.77000001,0.87496265
253,2012-07-17T00:03:00,0.86999997,1.0598854
254,2012-07-17T12:03:00,0.965,0.93492454
255,2012-07-18T00:03:00,0.94,0.83382358
256,2012-07-18T12:03:00,0.545,0.60382416
257,2012-07-19T00:03:00,1.41,1.1128977
258,2012-07-19T12:03:00,2.75,2.3562337
259,2012-07-20T00:03:00,3.74,2.6349827
260,2012-07-20T12:03:00,9.3699999,7.0673547
261,2012-07-21T00:03:00,5.1100001,3.580459
262,2012-07-21T12:03:00,3.1099999,2.5612907
